Gene ID,Total,GB,Exon,Intron,P,P250,P1K,P5K,Flanks,Gene symbol,Gene name
106577539,26,26,1,25,0,0,0,0,0,LOC106577539,"neurexin-2-like, transcript variant X1"
106609934,20,20,0,20,0,0,0,0,0,LOC106609934,catenin alpha-2-like
106612562,19,19,0,19,0,0,0,0,0,LOC106612562,"MDS1 and EVI1 complex locus protein EVI1-like, transcript variant X1"
106602757,18,18,0,18,0,0,0,0,0,ctnna2,"catenin (cadherin-associated protein), alpha 2, transcript variant X2"
106612035,15,15,0,15,0,0,0,0,0,rbfox3,"RNA binding protein, fox-1 homolog (C. elegans) 3, transcript variant X5"
106579565,15,15,0,15,0,0,0,0,0,LOC106579565,"dipeptidyl aminopeptidase-like protein 6, transcript variant X4"
106570400,15,14,1,13,0,0,0,0,1,LOC106570400,"CUB and sushi domain-containing protein 3-like, transcript variant X1"
106576894,14,14,1,13,0,0,0,0,0,cdh23,cadherin-related 23
106612642,14,14,0,14,0,0,0,0,0,LOC106612642,"limbic system-associated membrane protein-like, transcript variant X3"
106573702,14,14,0,14,0,0,0,0,0,LOC106573702,"cadherin-13-like, transcript variant X1"
106580525,14,14,0,14,0,0,0,0,0,LOC106580525,"netrin receptor UNC5D-like, transcript variant X2"
106571620,14,13,0,13,0,0,0,0,1,LOC106571620,C-C chemokine receptor type 6-like
106568715,13,13,5,8,0,0,0,0,0,LOC106568715,"low-density lipoprotein receptor-related protein 8-like, transcript variant X3"
106581677,13,13,2,11,0,0,0,0,0,LOC106581677,"obscurin-like protein 1, transcript variant X8"
106610598,13,13,0,13,0,0,0,0,0,LOC106610598,ALK tyrosine kinase receptor-like
106565213,13,13,0,13,0,0,0,0,0,plxna1,"plexin A1, transcript variant X1"
106577697,13,13,0,13,0,0,0,0,0,LOC106577697,"transmembrane protein 256-like, transcript variant X1"
106579432,13,13,0,13,0,0,0,0,0,LOC106579432,"cadherin-23-like, transcript variant X1"
106586116,13,12,1,11,0,0,0,0,1,LOC106586116,inactive dipeptidyl peptidase 10-like
106584037,12,12,1,11,0,0,0,0,0,LOC106584037,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B-like, transcript variant X1"
106584030,12,12,0,12,0,0,0,0,0,LOC106584030,"tyrosine-protein kinase transmembrane receptor ROR1-like, transcript variant X4"
106603662,12,12,0,12,0,0,0,0,0,LOC106603662,"opioid-binding protein/cell adhesion molecule-like, transcript variant X3"
106610067,12,12,0,12,0,0,0,0,0,LOC106610067,"uncharacterized LOC106610067, transcript variant X1"
106611921,12,12,0,12,0,0,0,0,0,slit homolog 3 protein-like,slit homolog 3 protein-like
106561385,12,12,0,12,0,0,0,0,0,LOC106561385,"tetraspanin-9-like, transcript variant X2"
106567547,12,11,0,11,1,0,0,1,0,LOC106567547,kin of IRRE-like protein 3
106581635,12,10,0,10,2,0,0,2,0,dach1,"dachshund family transcription factor 1, transcript variant X2"
100136477,11,11,3,8,0,0,0,0,0,LOC100136477,"peroxisome proliferator-activated receptor gamma coactivator 1-beta, transcript variant X1"
106589834,11,11,2,9,0,0,0,0,0,dnah17,"dynein, axonemal, heavy chain 17, transcript variant X2"
106562040,11,11,1,10,0,0,0,0,0,LOC106562040,"neural-cadherin-like, transcript variant X1"
106566949,11,11,1,10,0,0,0,0,0,LOC106566949,"agrin-like, transcript variant X3"
106577001,11,11,1,10,0,0,0,0,0,LOC106577001,protocadherin-15-like
106589364,11,11,0,11,0,0,0,0,0,LOC106589364,"glutamate receptor ionotropic, delta-1-like, transcript variant X1"
106601461,11,11,0,11,0,0,0,0,0,meis2,"Meis homeobox 2, transcript variant X9"
106613575,11,11,0,11,0,0,0,0,0,LOC106613575,"ephrin-A2-like, transcript variant X1"
106561392,11,11,0,11,0,0,0,0,0,LOC106561392,"homeodomain-interacting protein kinase 2-like, transcript variant X1"
106574338,11,11,0,11,0,0,0,0,0,LOC106574338,"neural cell adhesion molecule 2-like, transcript variant X2"
106580806,11,11,0,11,0,0,0,0,0,LOC106580806,"limbic system-associated membrane protein-like, transcript variant X5"
106590020,11,10,1,9,0,0,0,0,1,LOC106590020,MAGUK p55 subfamily member 7-like
